h3,population,geometry
86216e6d7ffffff,62.0,"POLYGON ((73.10731657861115 56.060702670522886, 73.11507186148826 56.02522150104449, 73.17472904981682 56.01105441038519, 73.22669298749733 56.032351554196524, 73.21902730814739 56.067837360976156, 73.1593080526769 56.0820214078979, 73.10731657861115 56.060702670522886))"
86216e6c7ffffff,42.0,"POLYGON ((73.15157873732325 56.11749270455477, 73.1593080526769 56.0820214078979, 73.21902730814739 56.067837360976156, 73.27107933079279 56.089107632991606, 73.26343988369081 56.12458352754773, 73.2036585108764 56.13878457350785, 73.15157873732325 56.11749270455477))"
86216e6b7ffffff,204.0,"POLYGON ((72.77237949206985 56.03868995416772, 72.78040291536033 56.003223363786965, 72.84014476632223 55.98921541105393, 72.89192599360945 56.010657348271195, 72.88399183681284 56.046128909384585, 72.824187149625 56.06015358365856, 72.77237949206985 56.03868995416772))"
86216e6afffffff,192.0,"POLYGON ((72.9279524067982 56.10300609285209, 72.93586112661632 56.06754432634429, 72.99563780999874 56.053466501057216, 73.04756837254725 56.074833620363236, 73.03974929896637 56.1103002076164, 72.97990998064314 56.124394876042096, 72.9279524067982 56.10300609285209))"
86216e6a7ffffff,1.0,"POLYGON ((72.81618889751769 56.09561041824586, 72.824187149625 56.06015358365856, 72.88399183681284 56.046128909384585, 72.93586112661632 56.06754432634429, 72.9279524067982 56.10300609285209, 72.86808482836362 56.117047531654805, 72.81618889751769 56.09561041824586))"
86216e697ffffff,24.0,"POLYGON ((72.84014476632223 55.98921541105393, 72.8481041932679 55.95373412593834, 72.90775576745698 55.93968985827498, 72.95951040623692 55.96111013941765, 72.95164009546993 55.99659632320304, 72.89192599360945 56.010657348271195, 72.84014476632223 55.98921541105393))"
86216e68fffffff,53.0,"POLYGON ((72.99563780999874 56.053466501057216, 73.00348258600906 56.01799008018886, 73.06316846691563 56.00387600880894, 73.11507186148826 56.02522150104449, 73.10731657861115 56.060702670522886, 73.04756837254725 56.074833620363236, 72.99563780999874 56.053466501057216))"
86216e687ffffff,31.0,"POLYGON ((72.88399183681284 56.046128909384585, 72.89192599360945 56.010657348271195, 72.95164009546993 55.99659632320304, 73.00348258600906 56.01799008018886, 72.99563780999874 56.053466501057216, 72.93586112661632 56.06754432634429, 72.88399183681284 56.046128909384585))"
86216e677ffffff,300.0,"POLYGON ((73.06051901420406 56.273417914206966, 73.0683504125564 56.237985954227355, 73.12831515926116 56.22385747034239, 73.18051126448623 56.24514399532324, 73.17277031379956 56.28058065844554, 73.11274277454736 56.29472611486231, 73.06051901420406 56.273417914206966))"
86216e66fffffff,207.0,"POLYGON ((73.21734080920845 56.33726663912681, 73.22505537717873 56.301840091507835, 73.28505339749427 56.28764119828976, 73.33739939453359 56.3088517804701, 73.32977565356234 56.34428287970637, 73.26971505356038 56.358498866675056, 73.21734080920845 56.33726663912681))"
86216e65fffffff,185.0,"POLYGON ((73.24044675510224 56.230962152588916, 73.2481236260524 56.19551081359556, 73.30796716595584 56.18129272571779, 73.36019601666587 56.20250891338032, 73.35260954591169 56.23796477118042, 73.29270378963707 56.252199943958345, 73.24044675510224 56.230962152588916))"
86216e657ffffff,63.0,"POLYGON ((73.12831515926116 56.22385747034239, 73.13608232114242 56.18841076205282, 73.19595533251137 56.17424592663975, 73.2481236260524 56.19551081359556, 73.24044675510224 56.230962152588916, 73.18051126448623 56.24514399532324, 73.12831515926116 56.22385747034239))"
86216e64fffffff,395.0,"POLYGON ((73.28505339749427 56.28764119828976, 73.29270378963707 56.252199943958345, 73.35260954591169 56.23796477118042, 73.40492714071654 56.25915374625954, 73.39736741599225 56.29459947970628, 73.33739939453359 56.3088517804701, 73.28505339749427 56.28764119828976))"
86216e647ffffff,138.0,"POLYGON ((73.17277031379956 56.28058065844554, 73.18051126448623 56.24514399532324, 73.24044675510224 56.230962152588916, 73.29270378963707 56.252199943958345, 73.28505339749427 56.28764119828976, 73.22505537717873 56.301840091507835, 73.17277031379956 56.28058065844554))"
86216e637ffffff,36.0,"POLYGON ((72.79211598993606 56.20193159839701, 72.80015334915026 56.16649945197162, 72.86011191436997 56.15249454003108, 72.91209634131152 56.17390502385788, 72.90414893331852 56.2093421356969, 72.84412711024511 56.22336381955102, 72.79211598993606 56.20193159839701))"
86216e62fffffff,10.0,"POLYGON ((72.94830034654713 56.266153021492684, 72.95622207969059 56.23072587642544, 73.01621560396315 56.216650779174415, 73.0683504125564 56.237985954227355, 73.06051901420406 56.273417914206966, 73.00046243621412 56.28750990559113, 72.94830034654713 56.266153021492684))"
86216e627ffffff,23.0,"POLYGON ((72.83611515717374 56.258786038103715, 72.84412711024511 56.22336381955102, 72.90414893331852 56.2093421356969, 72.95622207969059 56.23072587642544, 72.94830034654713 56.266153021492684, 72.88821521027435 56.28019152063762, 72.83611515717374 56.258786038103715))"
86216e61fffffff,1.0,"POLYGON ((72.97202686558563 56.15984677743173, 72.97990998064314 56.124394876042096, 73.03974929896637 56.1103002076164, 73.09176815428947 56.13164057570469, 73.08397495176509 56.16709725873474, 73.02407294551986 56.181208813324545, 72.97202686558563 56.15984677743173))"
86216e60fffffff,176.0,"POLYGON ((73.01621560396315 56.216650779174415, 73.02407294551986 56.181208813324545, 73.08397495176509 56.16709725873474, 73.13608232114242 56.18841076205282, 73.12831515926116 56.22385747034239, 73.0683504125564 56.237985954227355, 73.01621560396315 56.216650779174415))"
86216e607ffffff,599.0,"POLYGON ((72.90414893331852 56.2093421356969, 72.91209634131152 56.17390502385788, 72.97202686558563 56.15984677743173, 73.02407294551986 56.181208813324545, 73.01621560396315 56.216650779174415, 72.95622207969059 56.23072587642544, 72.90414893331852 56.2093421356969))"
86216e5b7ffffff,72.0,"POLYGON ((71.7429685867148 56.0733895181484, 71.75183281425862 56.03799752642593, 71.81195682020697 56.02448963986761, 71.86328198770306 56.04635776711691, 71.85450631646644 56.08175575568823, 71.79431687941818 56.09527964086492, 71.7429685867148 56.0733895181484))"
86216e59fffffff,2.0,"POLYGON ((71.92338249411321 56.03279643780139, 71.93209266999806 55.997383039730195, 71.99210431981055 55.98378440462086, 72.04347063337828 56.00558306811586, 72.03484900864473 56.04100228108866, 71.97477247821925 56.054617036416666, 71.92338249411321 56.03279643780139))"
86216e597ffffff,128.0,"POLYGON ((71.81195682020697 56.02448963986761, 71.8207554160292 55.989082166215454, 71.8807908009276 55.97553687469868, 71.93209266999806 55.997383039730195, 71.92338249411321 56.03279643780139, 71.86328198770306 56.04635776711691, 71.81195682020697 56.02448963986761))"
86216e58fffffff,73.0,"POLYGON ((71.96608549615591 56.09002091231565, 71.97477247821925 56.054617036416666, 72.03484900864473 56.04100228108866, 72.08630346402136 56.06277525870232, 72.07770530210823 56.09818491220686, 72.01756382375373 56.11181583131023, 71.96608549615591 56.09002091231565))"
86216e587ffffff,1.0,"POLYGON ((71.85450631646644 56.08175575568823, 71.86328198770306 56.04635776711691, 71.92338249411321 56.03279643780139, 71.97477247821925 56.054617036416666, 71.96608549615591 56.09002091231565, 71.90591979935046 56.103598323032934, 71.85450631646644 56.08175575568823))"
86216e577ffffff,11.0,"POLYGON ((72.02582221390855 56.31046724896019, 72.03450457816103 56.27510789459933, 72.09486625596814 56.26148197689013, 72.14661099071215 56.2831991775874, 72.13801840170377 56.31856426998743, 72.07759126148035 56.33220644467933, 72.02582221390855 56.31046724896019))"
86216e567ffffff,112.0,"POLYGON ((72.06893263089907 56.36755596749719, 72.07759126148035 56.33220644467933, 72.13801840170377 56.31856426998743, 72.18985239969771 56.3402553380385, 72.181283818171 56.37561056134019, 72.12079114843223 56.38926903720253, 72.06893263089907 56.36755596749719))"
86216e55fffffff,27.0,"POLYGON ((72.20694771316583 56.269519504659904, 72.21547451242549 56.23413894719301, 72.27572089733896 56.220421915421845, 72.32750534155008 56.2420690852429, 72.31906830316618 56.277455197337765, 72.25875701952872 56.29118860605666, 72.20694771316583 56.269519504659904))"
86216e557ffffff,94.0,"POLYGON ((72.09486625596814 56.26148197689013, 72.1034826878103 56.22610708458526, 72.1637542625429 56.212443706798, 72.21547451242549 56.23413894719301, 72.20694771316583 56.269519504659904, 72.14661099071215 56.2831991775874, 72.09486625596814 56.26148197689013))"
86216e547ffffff,20.0,"POLYGON ((72.13801840170377 56.31856426998743, 72.14661099071215 56.2831991775874, 72.20694771316583 56.269519504659904, 72.25875701952872 56.29118860605666, 72.25025433573249 56.32655932595073, 72.18985239969771 56.3402553380385, 72.13801840170377 56.31856426998743))"
86216e527ffffff,482.0,"POLYGON ((71.8015524306242 56.29396760688631, 71.81041394770753 56.25862005944276, 71.87082408560384 56.245101706339575, 71.92243861879895 56.26691483022228, 71.91366661121093 56.30226833619705, 71.85319051858691 56.315802780671184, 71.8015524306242 56.29396760688631))"
86216e51fffffff,3.0,"POLYGON ((71.93993989923032 56.19618246135042, 71.94866924060074 56.16080365129922, 72.0089001963392 56.14721011546037, 72.06046709647839 56.168979241608824, 72.05182698548681 56.20436386452902, 71.99153070262885 56.21797356932621, 71.93993989923032 56.19618246135042))"
86216e50fffffff,70.0,"POLYGON ((71.98282476843374 56.25334268613036, 71.99153070262885 56.21797356932621, 72.05182698548681 56.20436386452902, 72.1034826878103 56.22610708458526, 72.09486625596814 56.26148197689013, 72.03450457816103 56.27510789459933, 71.98282476843374 56.25334268613036))"
86216e507ffffff,90.0,"POLYGON ((71.87082408560384 56.245101706339575, 71.8796193899947 56.20973847517594, 71.93993989923032 56.19618246135042, 71.99153070262885 56.21797356932621, 71.98282476843374 56.25334268613036, 71.92243861879895 56.26691483022228, 71.87082408560384 56.245101706339575))"
86216e4f7ffffff,3.0,"POLYGON ((72.25790127074926 56.05711080712288, 72.26634540708761 56.02168029368841, 72.32628300380424 56.007921735942006, 72.37784057232399 56.029577347545086, 72.36948536943345 56.065013346153656, 72.3094836252519 56.07878826890241, 72.25790127074926 56.05711080712288))"
86216e4efffffff,302.0,"POLYGON ((72.41280021350471 56.12206924077731, 72.42113114812638 56.08664291474605, 72.48110701103596 56.07281464311352, 72.53281586124986 56.094396229441685, 72.52457425162252 56.12982789225014, 72.46453442809175 56.143672652989515, 72.41280021350471 56.12206924077731))"
86216e4dfffffff,7.0,"POLYGON ((72.43775253560602 56.015765521673295, 72.44604305328352 55.98031450762994, 72.5058653184775 55.96646591794918, 72.5574606179861 55.98805188035084, 72.5492590123289 56.02350819702034, 72.48937315685656 56.03737326962011, 72.43775253560602 56.015765521673295))"
86216e4d7ffffff,320.0,"POLYGON ((72.32628300380424 56.007921735942006, 72.33466231150491 55.97247613479766, 72.39451043654216 55.958680711452, 72.44604305328352 55.98031450762994, 72.43775253560602 56.015765521673295, 72.37784057232399 56.029577347545086, 72.32628300380424 56.007921735942006))"
86216e4cfffffff,1.0,"POLYGON ((72.48110701103596 56.07281464311352, 72.48937315685656 56.03737326962011, 72.5492590123289 56.02350819702034, 72.60094233384741 56.04506799284146, 72.59276536679998 56.08051463074615, 72.53281586124986 56.094396229441685, 72.48110701103596 56.07281464311352))"
86216e4c7ffffff,19.0,"POLYGON ((72.36948536943345 56.065013346153656, 72.37784057232399 56.029577347545086, 72.43775253560602 56.015765521673295, 72.48937315685656 56.03737326962011, 72.48110701103596 56.07281464311352, 72.42113114812638 56.08664291474605, 72.36948536943345 56.065013346153656))"
86216e4b7ffffff,487.0,"POLYGON ((71.99210431981055 55.98378440462086, 72.00074924657612 55.94835570194355, 72.06067211476847 55.93471989942543, 72.11201458757257 55.95649666149174, 72.10345807343404 55.99193110676282, 72.04347063337828 56.00558306811586, 71.99210431981055 55.98378440462086))"
86216e4afffffff,35.0,"POLYGON ((72.14635554204364 56.0491070951212, 72.15488848629708 56.013682176962405, 72.21485124196657 55.999976907726335, 72.26634540708761 56.02168029368841, 72.25790127074926 56.05711080712288, 72.19787412149888 56.07083236018266, 72.14635554204364 56.0491070951212))"
86216e4a7ffffff,9.0,"POLYGON ((72.03484900864473 56.04100228108866, 72.04347063337828 56.00558306811586, 72.10345807343404 55.99193110676282, 72.15488848629708 56.013682176962405, 72.14635554204364 56.0491070951212, 72.08630346402136 56.06277525870232, 72.03484900864473 56.04100228108866))"
86216e49fffffff,14.0,"POLYGON ((72.17191301419592 55.94280763273652, 72.1804046638655 55.90735805989838, 72.24021415490989 55.893632102399046, 72.29159597799597 55.91533945998954, 72.28319272799986 55.95079459353483, 72.2233192157869 55.964536829568914, 72.17191301419592 55.94280763273652))"
86216e497ffffff,65.0,"POLYGON ((72.06067211476847 55.93471989942543, 72.06925203804747 55.899275996992124, 72.12908620052349 55.88560316548846, 72.1804046638655 55.90735805989838, 72.17191301419592 55.94280763273652, 72.11201458757257 55.95649666149174, 72.06067211476847 55.93471989942543))"
86216e48fffffff,30.0,"POLYGON ((72.21485124196657 55.999976907726335, 72.2233192157869 55.964536829568914, 72.28319272799986 55.95079459353483, 72.33466231150491 55.97247613479766, 72.32628300380424 56.007921735942006, 72.26634540708761 56.02168029368841, 72.21485124196657 55.999976907726335))"
86216e487ffffff,88.0,"POLYGON ((72.10345807343404 55.99193110676282, 72.11201458757257 55.95649666149174, 72.17191301419592 55.94280763273652, 72.2233192157869 55.964536829568914, 72.21485124196657 55.999976907726335, 72.15488848629708 56.013682176962405, 72.10345807343404 55.99193110676282))"
86216e477ffffff,26.0,"POLYGON ((72.27572089733896 56.220421915421845, 72.28418215804163 56.18502599735789, 72.34433828657383 56.171271746167726, 72.39609769967502 56.1928970195688, 72.38772605502697 56.228298419518815, 72.32750534155008 56.2420690852429, 72.27572089733896 56.220421915421845))"
86216e46fffffff,4.0,"POLYGON ((72.43122718732525 56.28528898468281, 72.43957433848512 56.24989742868592, 72.49976889900675 56.23607315006493, 72.5516806647933 56.25762390933447, 72.54342352525222 56.293020798319176, 72.48316456927158 56.30686161622767, 72.43122718732525 56.28528898468281))"
86216e467ffffff,70.0,"POLYGON ((72.31906830316618 56.277455197337765, 72.32750534155008 56.2420690852429, 72.38772605502697 56.228298419518815, 72.43957433848512 56.24989742868592, 72.43122718732525 56.28528898468281, 72.37094182588143 56.29907610873814, 72.31906830316618 56.277455197337765))"
